,words,count
37,very,59277
29,great,40242
109,with,38055
0,stay,35383
65,boston,32002
2,place,30325
805,apartment,28310
66,were,25749
16,clean,23013
26,this,23004
6,location,22850
14,room,19963
47,there,19098
15,nice,18907
63,would,18826
56,that,18097
177,host,17658
9,from,16320
116,comfortable,15875
34,house,14402
48,everything,13832
323,easy,12948
165,again,12886
3,really,12599
64,recommend,12463
115,have,12463
97,time,12259
5,good,11496
163,home,11157
20,well,10956
305,perfect,10764
93,neighborhood,10290
238,also,10274
68,close,9974
269,definitely,9972
76,just,9880
53,walk,9857
132,which,9383
248,made,8825
214,when,8749
134,experience,8642
38,helpful,8635
126,about,8105
511,here,8039
73,area,7898
104,they,7478
22,even,7300
237,staying,7234
51,only,7222
453,restaurants,7018
216,back,7007
327,needed,6920
112,like,6782
175,wonderful,6742
508,quiet,6716
87,friendly,6680
886,beautiful,6353
276,will,6337
376,its,6269
471,around,6145
32,city,6103
372,convenient,6005
191,walking,5969
252,could,5916
50,station,5704
95,highly,5691
183,kitchen,5632
351,some,5630
176,lovely,5624
387,night,5617
59,bathroom,5563
313,street,5495
715,first,5421
40,enjoyed,5383
304,space,5373
27,airbnb,5373
153,much,5324
137,feel,5304
70,located,5264
154,more,5152
8,away,5082
230,than,5009
232,stayed,4979
13,downtown,4967
423,right,4935
411,super,4927
54,little,4822
852,welcoming,4810
632,need,4745
42,didnt,4711
119,thanks,4658
81,what,4603
85,hosts,4569
162,felt,4541
192,distance,4447
170,accommodating,4409
314,parking,4331
408,next,4320
199,their,4316
113,minutes,4273
599,spacious,4271
242,during,4260
186,excellent,4228
21,arrival,4198
180,provided,4172
406,before,4098
429,other,4083
10,subway,4070
451,amazing,4039
308,exactly,4039
566,short,4034
375,described,4011
382,loved,3989
626,check,3986
889,visit,3873
1109,your,3872
659,thank,3850
168,questions,3831
173,trip,3823
198,arrived,3817
460,make,3739
806,cozy,3693
72,safe,3666
249,sure,3581
787,access,3561
158,fantastic,3560
57,people,3538
505,breakfast,3498
157,overall,3479
525,small,3462
31,airport,3457
514,into,3399
1704,family,3379
716,within,3372
123,gave,3354
568,line,3351
179,responsive,3350
