,score,comments
0,-1,"De kamer wordt verhuurd via een ""self-check in"" systeem. Dat betekent dat wij tijdens ons verblijf Izzy niet hebben ontmoet. Het systeem werkte prima. De kamer was zoals op de foto, alleen het bed stond nu haaks op de muur. Het huis bevindt zich in een Latijns-Amerikaanse buurt en is makkelijk te bereiken vanaf het metrostation Airport. Je bent binnen een paar haltes in het centrum van Boston. Het enige minpunt aan de locatie is dat je altijd de metro moet gebruiken en niet naar het centrum kan lopen. "
1,-2,"Nothing like ""a private room"" it's an outdated / renovation overdue house in a strange area/location. Room was dusty (Floor), staircase to the room in the basement was tiny. Somebody used the wash-machine (basement.....) at 1:45. As there wasn't an air conditioning, we had to leave windows open and got woken up often by either passing cars (windows face to the street) or talking people. Cut it short : the house is used to rent out the rooms, the friendly caring lady is taking care about things but the whole thing is commercial. Better add some money and go into a real hotel. Price isn't cheap either. Never again ! It's an abuse of Airbnb ! "
2,-3,"nothing what I expected !
we start from the position..the house is in a very bad boston district where there is nothing and there live exclusively Latinos (hispanic district) ! the metro is a 10 min walk but if you come back late at night you have to go for strength to a park where there are not recommended subjects . we had always come back soon because we were afraid something happened to us ! neighborhood dirty, ugly people , no restaurant !
as it regards the room was in the basement ... with a small WC designed in under 1 meter scale .
all very dirty and very poorly maintained.
nobody helped us by giving us indications
terrible experience ."
3,-1,The instruction was complicated but overall was okay. They process of getting & returning the key took us some time. 
4,-1,"Overall a very good air bnb experience. The one issue we had was that the window sills and a lot of the tables/desks and bedroom bench were dusty and there were quite some bugs and tiny house spiders and spider webs, but not a big problem as it just requires a little more thorough cleaning. The beds, sheets, and bathrooms were very clean. Greg is also very quick to respond to messages and the apartment is easily accessible through cab and public transportation.  "
5,-2,The listing was lovely and in a great location. It was smaller than the listing pictures showed but only the kitchen was at all cramped. Saturday morning it got extremely noisy for twenty minutes at 6 am due the windows overlooking the dumpster. We also had Wifi problems that were not fixed. Ultimately did not detract from our experience much and was a lovely weekend.
6,-4,"If you are a Puritan this is the place for you. With absolute bare walls and an extra mattress leaning against one you will not be overwhelmed by the details. No shelves or night stands to put your stuff on. Even the wifi cables and router sit on the floor in a tangle of wires. 
The kitchen is like something out of an Eastern European flat. So cramped you can barely fit between the counter and the stove. You can only open the fridge door a quarter of the way. But it does have a gas stove. 
The bathroom has cracked plaster in the shower area and the shelf in the shower is mildewed with the laminate wood coming up. 
Our alarm clock in the morning consisted of the garbage truck at 5:45 am picking up the dumpsters outside our window (which was gone through every couple of hours through the night by street people). Then from 7:00 until just after 8:00 we got to hear the loud music of the neighbor while they got ready for the day. 
Sean is very quick to respond to questions and give information. And the location is great for getting around Boston. "
7,-1,"Please read this review carefully.  I feel it is my responsibility to give the pros and cons very clearly....

PROS
-Very cheap place to stay
-This property is a FIVE minute WALK to Fenway
-The wifi is super fast
-The water is hot

CONS
-Everything else

Let me be clear:  This place met our needs for the ""guy weekend"", which was to spend as much time at Fenway as we possibly could.  We were very appreciative of the short walk to the park, and the fast Wifi.  But, the apartment was basically a room with two mattresses on the floor, a tiny bathroom and a very, very tiny kitchen.  The air conditioner was underpowered, we could hear the footsteps of the people above us, and the garbage truck emptied the three dumpsters outside our window at 5:55 am on Saturday morning. 

In addition, the host could have spent a hundred dollars on some functioning pillows, maybe a wash cloth or two, and some blankets for the second bed....

Sean was a little hard to reach with instructions, but I don't fault him too much for it as he did say he had been travelling. 

Short version:  If you have a serious limit to your budget and want to spend your money and time on other things -- particularly Fenway -- and you don't care for much more than a mattress with some air conditioning and fast wifi, then this is your spot.   

If, however, you want anything coming close to creature comforts, then you should move on and find something else. 

I wish I was able to be more charitable, but unfortunately this is the reality of this property. "
8,-1,"Good experience.  Parking was a bit tricky; otherwise, no problems."
9,-1,"We were rather disappointed with this accommodatiion. The host did not even meet us, but left rather complicated instructions to access the keys to the apartment.  We did not meet the host at all during our stay, or even hear from him as to how we were getting on.  The apartment was somewhat shabby, and not really like the image indicated, as this only showed a small corner of one room.  The kitchen was tiny, and although quite well equipped, it badly needed redecoration and a good clean. In addition, the apartment backed onto a yard with three dumpsters, and on 4 occasions we were awakened early in the morning by the noise of the dumpsters being emptied."
10,-4,"Sean met us when we arrived. He provided helpful information about the area/parking. 

I defer to Ian's June 2015 review. He nailed many of the issues I had with the rental. The apt is extremely small. It's an old, run down building. Stacked up mattresses. The place was very warm and stuffy. The a/c is underpowered. Peeling paint on ceiling. Oldish bed linens and towels. No wash cloths. Had to search for toilet paper. The place smelled. Floor was sticky. Stove had grime on burner. The sense of customer service was non-existent. 

My husband and I arrived, stayed for a few minutes and explored Bodton. Returned around 10 pm. The place was hot and smelly. We left. Dropped the keys at the lock box inconvenient and across the highway. Homeless guy sleeping nearby. Dark area. 

I requested a partial refund. Sean replied no and said the issues I brought up were not accurate. They are accurate. I do not have very high expectations but it was beyond the pale. Like visiting a frat room cleaned of clutter."
11,-1,"disgusting, disappointed, dirty. The two matress were disgusting and uncomfortable. The bathroom I can't explain it. In the fridge was some old food. Before we arrive we inform Sean that we would like to use the two beds. When we arrive, we dont find sheets for the seconf bed and we ask Sean what can we do, and he say we can go to find him somewhere and he can give us all what we need. This is service? The idea of Airbnb is ""feel like at home"", but here I can only say ""better go to the hostel/hotel"". I can't recommend it. If you read the comments from other peolple you find that a lot of them say the same like me. "
12,-1,"Good experience, no main complaints except had a few key issues."
13,-6,"The apartment was disappointing compared to the pictures, it was dark and old the kitchen is extremely small and the bathtub was clogged which was disguting. This came with a rude and arrogant Host which all made my worst airbnb experience."
14,-1,"I was in the department 4. The apartment was dirty, shabby walls, the bed was very uncomfortable, the shower was extremely ugly and kitchen girl. I did not like the place, it was not comfortable the stay if you wanted to be in the department. The walls in our case were dark and poorly painted. The bed was very old and uncomfortable, definitely not sleep well. The neighborhood was cute and was well described.

Estuve en el departamento 4. El departamento estaba sucio, paredes en mal estado, la cama era muy incomoda, la ducha era fea y la cocina extremadamente chica. No me gusto el lugar, no fue comoda la estadia si querias estar en el departamento. Las paredes en nuestro caso estaban de oscuro y mal pintadas. La cama era muy vieja e incomoda, definitivamente no dormiamos bien. El barrio era lindo y estuvo bien descripto."
15,-4,"Not sure what to say about this experience.  Cheap place, centrally located, but likely very unsanctioned, since you have to get the key from a lock box on a fence two doors down.  Old building, run down, paint peeling, water leaks everywhere in the bathroom when you shower.  No hair dryer (although Sean offered to bring one).  The view looks out on to a wall of graffiti and is located over the dumpster (which is an issue if you open the window and don't enjoy the smell of garbage). I've been lucky so far, but this was probably the worst air B & B place I have experienced.  "
16,-2,"I have used airbnb enough to come to expect a certain level of cleanliness of the house and timeliness of the host.  This host was disappointing on both counts.  It was very difficult to communicate with the host.  It wasn't until I texted, emailed and called that I got directions for entry.  Upon our arrival, I had to locate the key away from the building in a lock box attached to a random chain link fence.  That was my first red flag.  Upon entry, the house was filthy.  Literal piles of dust and dirt in the corners, which may not be so bad under normal circumstances, but both beds were mattresses on the floor, so we we were up close and personal with the dirt.  There were not enough linens, or towels. There was only a fitted sheet and a duvet that was much too hot!  No top sheet or blankets.  No hand towels or wash cloths.  The shower had a pile of partially used soap.  No coffee maker or blender.  All of this was the second red flag.  The clincher was when I came home and found a letter from the landlord explaining that airbnb was not legal in the building.  By then, I was very uncomfortable.  When I asked the host about the letter, he dismissed it saying he gets letters like that all the time.  The location was great, and I did expect small and old (which is was), but dirty, illegal, and understocked - not good!"
17,-1,"Voor 1 nacht was het oké. Het voldeed aan de verwachtingen (die niet heel hoog waren). 
Het was voor ons echt alleen een overnachtingsplek die goedkoper was dan alle hotels in de buurt. 
We vonden 1 nacht echter wel genoeg. "
18,-1,"L'appartement est bien situé dans un quartier dynamique. LA recherche des clés est un peu une recherche au trésor. L’appartement était trop petit pour 4, un des deux matelas est en mousse et inconfortable au sommeil. Salle de bain très sale et cuisine petite. Appartement pour 2 personnes maximum. L'appartement se situe au dessus d'un container poubelle qui attire odeur et petits insectes (quelques uns retrouvés dans la chambre rampant le long des murs). Prix un peu élevé pour la qualité et la place
"
19,-1,"L'appartement semble prévu pour accueillir des réfugiés, matelas au sol, équipements et ""décoration"" plus que sommaire. La propreté laisse à désirer, la dernière fois que nous avons vu un cafard aussi gros c'était lors d'un voyage en Inde en 1990. Il faut dire que les fenêtres donnent sur deux énormes containers à ordures. Outre la vue et les odeurs il faut subir le passage tous les deux jour du service des ordures tôt le matin, le niveau sonore de l'opération vous garantit un réveil matinal. En résumé: à fuir. "
20,-4,"I was very excited for my stay here and it could not have been more of a disaster. It was not accurately represented in the listing. The home was very old and the space was not clean. The neighborhood was sketchy. This place would be possibly fine for someone in their teens or early 20s. After staying one night here, I was able to move out per approval by Airbnb. The girls then proceeded to send me a passive aggressive, rude text message after I had left. They thought I locked one of their cats in the attic...I didnt even know there was an attic and the only cat I ever saw was the one that wouldn't leave my bed. I was left on the streets with 3 bags in the rain on my first night in Boston because I just could not stay there any longer. Cat food on the floor, a mess in the sink and in fridge...dirty dishes, dirty spoons laying around with cat food on them. The bedroom was riddled with photos of random girls. I felt like I was sharing a room with someone else. The home was old and dark and seemed to be a large house divided up so many times that there were possibly dozens of people under one roof. When I arrived, there were about 6 boys in their early 20s drinking topless outside the door. Felt like a frat party. Also this unit has a shared bathroom thats not near your bedroom, and your bedroom would be right in the living room. Very small space. The girls were out of town when I arrived and did not leave me with the internet code or any information but one towel full of cat hair on it. On the other side of the bed, there were pillows and things just thrown on the floor. Its like they didn't even clean the room. I paid a couple hundred more and found a much better place for me.... with no childish behavior from the host. Pains me to write this review as a fellow host myself but I would not want anyone else to be fooled into staying here. 
"
