,listing_id,id,date,reviewer_id,reviewer_name,comments,review_lang
12,1178162,8372308,2013-10-28,8837991,Olga Maria, Mi estad a en Boston aunque corta fue muy buena la habitaci n excelente muy limpia y ordenada no tuve ning n inconveniente dentro de la casa Si vuelvo a Boston volver a buscarlos Gracias ,es
50,1178162,20020224,2014-09-22,18640669,Marie," La maison situ e dans East Boston tait sympathique propre et non loin du m tro arr t airport de la blue line , La cuisine est bien quip e avec lave vaisselle micro ondes cafeti re et autres , La chambre situ e en sous bassement tait propre grande avec literie confortable et des rangements , La situation de la chambre ne permet pas l acc s des personnes mobilit r duite escaliers , Nous avons pass 7 nuits agr ables dans un quartier plut t calme ",fr
55,1178162,20513074,2014-09-30,5536373,Kimberley, De kamer wordt verhuurd via een self check in systeem Dat betekent dat wij tijdens ons verblijf Izzy niet hebben ontmoet Het systeem werkte prima De kamer was zoals op de foto alleen het bed stond nu haaks op de muur Het huis bevindt zich in een Latijns Amerikaanse buurt en is makkelijk te bereiken vanaf het metrostation Airport Je bent binnen een paar haltes in het centrum van Boston Het enige minpunt aan de locatie is dat je altijd de metro moet gebruiken en niet naar het centrum kan lopen ,nl
83,1178162,25051451,2015-01-05,24947394,Anna," Una casa muy acogedora muy cerca a menos de 10 minutos andando de la parada de metro donde se coge el bus shuttle gratis por cierto que va al aeropuerto La habitaci n estaba limpia con su neverita calentita espaciosa y adem s en el piso de abajo con lo que ten amos m s intimidad , Izzy no estaba pero nos facilit toda la informaci n para entrar sin problemas , Esos d as ten a 3 habitaciones m s ocupadas con otros hu spedes as que la nica pega es que como hay un solo ba o hab a cola para ducharse a primera hora de la ma ana Todo lo dem s genial ",es
121,1178162,35239731,2015-06-16,33981202,Catherine, Izzy nous a fait sentir tr s bien d s notre arriv e Il nous a donn des informations et des suggestions sur quoi faire et o manger Nous n avons manqu de rien pendant notre s jour ,fr
134,1178162,38361181,2015-07-14,36396485,Julian, Muy buena ubicaci n si se viene desde el aeropuerto muy cerca al centro excelente limpieza es una experiencia de hotel ,es
138,1178162,40348222,2015-07-30,35788297,Gabriel," Nous avons bien aimer notre s jour en g n ral Boston est une super belle ville et l emplacement du airbnb tait parfait Malheureusement Izzy n a pas t pr sent notre arriv e Nous l avons pas vu du tout pendant nos deux jours , , La chambre tait g n ralement assez propre mais nous avons du changer les draps Je vous conseil d apporter vos propre draps et oreillers , , Aucun probl me aussi avec les autres airbnbers ",fr
141,1178162,41141919,2015-08-04,39164055,Germain," S jour rapide Boston nous ne sommes rest s qu une nuit chez Izzy , La chambre tait propre de m me que les espaces communs , Tr s bon accueil instructions tr s claires pour acc der la maison et la chambre , Ambiance sympathique avec les autres locataires Airbnb , Localisation proche du M tro Airport pratique pour rejoindre le centre et pour y acc der depuis l a roport avec la navette bleue 1 station , Nous recommandons vivement ce lieu , Merci encore ",fr
142,1178162,41561154,2015-08-07,40441223,Lijing,  ,zh-cn
151,1178162,46121460,2015-09-08,33814203,Marie-Sophie, Izzy aime les gens et a transpara t Il est tr s accueillant et donne de tr s bonnes indications des endroits visiter Boston Comme la station de m tro Airport est situ e cinq minutes du logement nous avons pu laisser notre voiture stationn e toute la fin de semaine C est vrai il y a beaucoup de voyageurs chez Izzy mais la plupart save se comporter en soci t Seul b mol il n y a qu une salle de bain pour quatre chambres a peut cr er des bouchons certains moments dans la journ e ,fr
161,1178162,50932592,2015-10-16,37602376,Lucila, Todo perfecto y acorde a lo que pactamos Izzy nos explic a la perfecci n como llegar a su casa y estaba el cuarto listo cuando llegamos Buena experiencia y muy recomendable la casa ,es
165,1178162,53353068,2015-11-08,37687187,Marta," L amfitri no va contestar cap dels meus e mails ni missatges abans d arribar , L habitaci era tal i com es descriu a l anunci i estava neta Per les zones comuns estaven un p l deixades Bona ubicaci ",ca
174,1178162,60099509,2016-01-18,50576464,Jose, Very good,af
192,1178162,69710156,2016-04-12,12545431,Mélanie," Tr s pratique pour allez l a roport , Chambre agr able ",fr
209,1178162,88009541,2016-07-22,10558679,Manuela, Super,id
