,words,count
0,stay,35383
1,islams,20
2,place,30325
3,really,12599
4,cool,1206
5,good,11496
6,location,22850
7,5min,116
8,away,5082
9,from,16320
10,subway,4070
11,then,1322
12,10min,90
13,downtown,4967
14,room,19963
15,nice,18907
16,clean,23013
17,islam,42
18,managed,234
19,pretty,2003
20,well,10956
21,arrival,4198
22,even,7300
23,last,1364
24,minute,3093
25,recommand,109
26,this,23004
27,airbnb,5373
28,user,77
29,great,40242
30,both,2427
31,airport,3457
32,city,6103
33,amenities,1855
34,house,14402
35,plus,1475
36,always,3052
37,very,59277
38,helpful,8635
39,though,2391
40,enjoyed,5383
41,outside,1419
42,didnt,4711
43,look,1068
44,inviting,465
45,inside,685
46,himself,246
47,there,19098
48,everything,13832
49,prepared,703
50,station,5704
51,only,7222
52,510,180
53,walk,9857
54,little,4822
55,issue,1136
56,that,18097
57,people,3538
58,share,463
59,bathroom,5563
60,problem,1856
61,worked,1537
62,fine,1547
63,would,18826
64,recommend,12463
65,boston,32002
66,were,25749
67,commodities,10
68,close,9974
69,metro,1654
70,located,5264
71,quite,2711
72,safe,3666
73,area,7898
74,responds,109
75,quickly,1553
76,just,9880
77,mins,677
78,food,2309
79,nearby,2285
80,simple,1010
81,what,4603
82,after,3311
83,truely,10
84,exeptional,2
85,hosts,4569
86,amazingly,133
87,friendly,6680
88,rooms,1589
89,spotless,529
90,wifi,1702
91,superb,339
92,latinamerican,2
93,neighborhood,10290
94,rides,79
95,highly,5691
96,recommened,1
97,time,12259
98,best,3323
99,over,1849
100,taking,472
101,explain,111
102,things,2716
103,come,2947
104,they,7478
105,part,1529
106,want,2206
107,doing,324
108,them,2651
109,with,38055
110,you,1605
111,near,2700
112,like,6782
113,minutes,4273
114,anyone,2670
115,have,12463
116,comfortable,15875
117,enjoyable,691
118,price,1647
119,thanks,4658
120,lot,409
121,attentive,769
122,funny,87
123,gave,3354
124,recommandation,2
125,info,490
126,about,8105
127,nightlife,87
128,places,2833
129,flat,1465
130,tidy,983
131,patio,363
132,which,9383
133,real,771
134,experience,8642
135,furnished,771
136,pleasant,2047
137,feel,5304
138,free,1420
139,virtually,51
140,anything,1519
141,hell,34
142,help,1922
143,too,1578
144,talking,254
145,him,648
146,conveniently,1146
147,recommended,1985
148,neighbourhood,1877
149,might,989
150,cleanest,46
151,liked,812
152,brooklyne,2
153,much,5324
154,more,5152
155,matter,170
156,value,905
157,overall,3479
158,fantastic,3560
159,couldnt,1764
160,asked,1151
161,better,2878
162,felt,4541
163,home,11157
164,quick,2998
165,again,12886
166,return,1304
167,respond,950
168,questions,3831
169,concerns,220
170,accommodating,4409
171,every,2173
172,point,486
173,trip,3823
174,truly,752
175,wonderful,6742
176,lovely,5624
177,host,17658
178,kind,2979
179,responsive,3350
180,provided,4172
181,comforts,111
182,full,1670
183,kitchen,5632
184,satellite,10
185,living,2067
186,excellent,4228
187,connection,253
188,areas,736
189,extremely,3188
190,stops,742
191,walking,5969
192,distance,4447
193,shuttles,24
194,connecting,59
195,communication,2635
196,brother,184
197,however,1526
198,arrived,3817
199,their,4316
200,toilet,317
201,completely,497
202,plugged,16
203,excrements,1
204,totally,702
205,disgusted,2
206,went,2301
207,town,2444
208,train,2712
209,takes,696
210,15mn,6
211,10mn,11
212,speak,158
213,fixed,233
214,when,8749
215,came,1447
216,back,7007
217,4pm,16
218,basic,656
219,thin,190
220,walls,308
221,bedrooms,795
222,minimum,49
223,comfort,354
224,supposed,77
225,basement,710
226,dont,1652
227,smell,314
228,person,1993
229,rather,440
230,than,5009
231,two,242
232,stayed,4979
233,upper,78
234,nobody,47
235,except,280
236,guest,959
237,staying,7234
238,also,10274
239,level,384
240,sent,572
241,email,789
242,during,4260
243,computer,87
244,smartphone,6
245,told,619
246,while,2883
247,booking,929
248,made,8825
249,sure,3581
250,wanted,1297
251,where,2929
252,could,5916
253,upstairs,558
254,fact,512
255,owner,484
256,wasnt,1486
257,strange,57
258,feeling,384
259,door,2191
260,locked,173
261,all,1453
262,luggage,1136
263,across,1251
264,kinda,42
265,sliding,21
266,unsafe,118
267,anybody,100
268,easily,1842
269,definitely,9972
270,unless,103
271,looking,2326
272,cheap,332
273,mind,500
274,those,752
275,inconvenience,96
276,will,6337
277,fun,235
278,estadía,55
279,aunque,54
280,corta,11
281,buena,128
282,habitación,127
283,excelente,181
284,limpia,66
285,ordenada,9
286,tuve,13
287,ningún,28
288,inconveniente,12
289,dentro,22
290,casa,583
291,vuelvo,7
292,volveré,7
293,buscarlos,1
294,gracias,74
295,sized,188
296,necessities,227
297,included,411
298,mini,154
