,words
0,stay
1,islams
2,place
3,really
4,cool
5,good
6,location
7,5min
8,away
9,from
10,subway
11,then
12,10min
13,downtown
14,room
15,nice
16,clean
17,islam
18,managed
19,pretty
20,well
21,arrival
22,even
23,last
24,minute
25,recommand
26,this
27,airbnb
28,user
29,great
30,both
31,airport
32,city
33,amenities
34,house
35,plus
36,always
37,very
38,helpful
39,though
40,enjoyed
41,outside
42,didnt
43,look
44,inviting
45,inside
46,himself
47,there
48,everything
49,prepared
50,station
51,only
52,510
53,walk
54,little
55,issue
56,that
57,people
58,share
59,bathroom
60,problem
61,worked
62,fine
63,would
64,recommend
65,boston
66,were
67,commodities
68,close
69,metro
70,located
71,quite
72,safe
73,area
74,responds
75,quickly
76,just
77,mins
78,food
79,nearby
80,simple
81,what
82,after
83,truely
84,exeptional
85,hosts
86,amazingly
87,friendly
88,rooms
89,spotless
90,wifi
91,superb
92,latinamerican
93,neighborhood
94,rides
95,highly
96,recommened
97,time
98,best
99,over
100,taking
101,explain
102,things
103,come
104,they
105,part
106,want
107,doing
108,them
109,with
110,you
111,near
112,like
113,minutes
114,anyone
115,have
116,comfortable
117,enjoyable
118,price
119,thanks
120,lot
121,attentive
122,funny
123,gave
124,recommandation
125,info
126,about
127,nightlife
128,places
129,flat
130,tidy
131,patio
132,which
133,real
134,experience
135,furnished
136,pleasant
137,feel
138,free
139,virtually
140,anything
141,hell
142,help
143,too
144,talking
145,him
146,conveniently
147,recommended
148,neighbourhood
149,might
150,cleanest
151,liked
152,brooklyne
153,much
154,more
155,matter
156,value
157,overall
158,fantastic
159,couldnt
160,asked
161,better
162,felt
163,home
164,quick
165,again
166,return
167,respond
168,questions
169,concerns
170,accommodating
171,every
172,point
173,trip
174,truly
175,wonderful
176,lovely
177,host
178,kind
179,responsive
180,provided
181,comforts
182,full
183,kitchen
184,satellite
185,living
186,excellent
187,connection
188,areas
189,extremely
190,stops
191,walking
192,distance
193,shuttles
194,connecting
195,communication
196,brother
197,however
198,arrived
199,their
200,toilet
201,completely
202,plugged
203,excrements
204,totally
205,disgusted
206,went
207,town
208,train
209,takes
210,15mn
211,10mn
212,speak
213,fixed
214,when
215,came
216,back
217,4pm
218,basic
219,thin
220,walls
221,bedrooms
222,minimum
223,comfort
224,supposed
225,basement
226,dont
227,smell
228,person
229,rather
230,than
231,two
232,stayed
233,upper
234,nobody
235,except
236,guest
237,staying
238,also
239,level
240,sent
241,email
242,during
243,computer
244,smartphone
245,told
246,while
247,booking
248,made
249,sure
250,wanted
251,where
252,could
253,upstairs
254,fact
255,owner
256,wasnt
257,strange
258,feeling
259,door
260,locked
261,all
262,luggage
263,across
264,kinda
265,sliding
266,unsafe
267,anybody
268,easily
269,definitely
270,unless
271,looking
272,cheap
273,mind
274,those
275,inconvenience
276,will
277,fun
278,estadía
279,aunque
280,corta
281,buena
282,habitación
283,excelente
284,limpia
285,ordenada
286,tuve
287,ningún
288,inconveniente
289,dentro
290,casa
291,vuelvo
292,volveré
293,buscarlos
294,gracias
295,sized
296,necessities
297,included
298,mini
299,fridge
300,common
301,bathrooms
302,facilities
303,enough
304,space
305,perfect
306,awesome
307,definately
308,exactly
309,pictured
310,frills
311,adequate
312,needs
313,street
314,parking
315,nearly
316,impossible
317,find
318,cant
319,expect
320,others
321,having
322,getting
323,easy
324,fast
325,whole
326,offering
327,needed
328,definetly
329,izzy
330,clear
331,instructions
332,problems
333,entering
334,because
335,flight
336,taxi
337,cost
338,dolars
339,shuttle
340,confortable
341,thing
342,arrive
343,read
344,waiting
345,hour
346,left
347,spent
348,nights
349,shared
350,happened
351,some
352,interesting
353,chat
354,colombian
355,detailed
356,directions
357,mentions
358,somehow
359,missed
360,detail
361,narrow
362,stairs
363,leading
364,down
365,hard
366,carry
367,bags
368,unfortunately
369,traveling
370,heavy
371,east
372,convenient
373,late
374,checkin
375,described
376,its
377,reply
378,request
379,thorough
380,related
381,finding
382,loved
383,convenience
384,werent
385,familiar
386,landed
387,night
388,travel
389,follow
390,complicated
391,although
392,never
393,facetoface
394,contact
395,else
396,brief
397,overnight
398,assured
399,still
400,edge
401,nonetheless
402,without
403,incident
404,restful
405,sleep
406,before
407,launching
408,next
409,day
410,posted
411,super
412,meet
413,spanish
414,speaking
415,disgusting
416,smelted
417,mold
418,dirty
419,cleaned
420,either
421,friend
422,leave
423,right
424,dryer
425,washer
426,usable
427,assistant
428,washed
429,other
430,morning
431,hear
432,fight
433,nothing
434,defenetly
435,expensive
436,nasty
437,chance
438,thought
439,system
440,done
441,smoothly
442,upon
443,lock
444,flexibility
445,whatever
446,ive
447,less
448,ride
449,homely
450,friends
451,amazing
452,hidden
453,restaurants
454,proximity
455,key
456,complaints
457,setup
458,izzys
459,days
460,make
461,mixer
462,cellar
463,therefore
464,private
465,heard
466,screaming
467,shouting
468,calm
469,decent
470,rundown
471,around
472,cosy
473,impressed
474,selections
475,annoyed
476,honest
477,chose
478,most
479,meant
480,ones
481,bottom
482,floor
483,ours
484,channels
485,frustrated
486,mess
487,until
488,apparently
489,coming
490,decided
491,different
492,checkout
493,goes
494,local
495,shops
496,enjoy
497,frustrating
498,elements
499,willing
500,book
501,notice
502,theres
503,cafe
504,blocks
505,breakfast
506,realize
507,spooky
508,quiet
509,public
510,transportation
511,here
512,pleasing
513,flew
514,into
515,concert
516,straight
517,forward
518,reach
519,enter
520,readily
521,available
522,phone
523,text
524,whenever
525,small
526,heart
527,citys
528,ever
529,been
530,issys
531,everybody
532,actually
533,several
534,improve
535,perhaps
536,youngadventurous
537,side
538,spectrum
539,sign
540,said
541,process
542,renovations
543,think
544,second
545,noisy
546,evenings
547,lowerground
548,quieter
549,keep
550,accessible
551,winding
552,futon
553,style
554,bed
555,prompt
556,message
557,responses
558,midday
559,streets
560,filled
561,parkeddouble
562,parked
563,cars
564,5pm
565,fairly
566,short
567,blue
568,line
569,touch
570,gets
571,does
572,hot
573,ethnic
574,makes
575,uncomfortable
576,elsewhere
577,lockbox
578,secure
579,traveler
580,myself
581,early
582,logan
583,effective
584,option
585,beat
586,information
587,hang
588,reservation
589,additional
590,agree
591,many
592,positive
593,reviews
594,tstation
595,describe
596,started
597,bit
598,eg
599,spacious
600,including
601,inventoryand
602,whats
603,greasy
604,change
605,three
606,isnt
607,hotel
608,guests
609,responsible
610,cleanliness
611,cleaning
612,fee
613,regular
614,basis
615,accommodation
616,premises
617,mirror
618,stand
619,appreciated
620,warm
621,welcome
622,experienced
623,locations
624,connected
625,services
626,check
627,lots
628,environment
629,hes
630,answered
631,immediately
632,need
633,had
634,seems
635,description
636,sheets
637,towels
638,benefitted
639,august
640,powerful
641,okay
642,sweet
643,personally
644,together
645,visiting
646,appears
647,sketchy
648,through
649,listing
650,helped
651,tracks
652,took
