,listing_id,id,date,reviewer_id,reviewer_name,comments,review_lang,t_comments
0,9958026,79302307,2016-06-12,19902530,Jian, . Uber. ,zh-cn,. Uber.
1,9958026,81337751,2016-06-22,40102634,Juan Ildefonso, Yes,tr,Yes
2,9958026,86330932,2016-07-16,62394387,Stephanie, Siehe. andere. Bewertung. ,de,Please refer.other.Evaluation.
3,9958026,88037077,2016-07-23,62394387,Stephanie, F. r. 1. oder. 2. N. chte. ist. das. Zimmer. absolut. ausreichend. Gute. Anbindung. in. die. Innenstadt. Dan. war. hilfsbereit. auch. wenn. wir. sie. nicht. oft. gesehen. haben. Wir. haben. ein. paar. sehr. hei. e. Tage. erwischt. daher. war. das. Zimmer. sehr. warm. Saunerkeit. war. ok. ,de,F. R.1. or.2. N.is.the room.absolutely.sufficient.Quality.Connection.in the.Downtown.Dan.was.helpful.also.if.weather.she.not.often.seen.to have.We.to have.one.pair.very.Hei.e.Days.Caught.hence.was.the room.very.warm.Sauna.was.OK.
4,4105704,21904768,2014-10-26,22292860,Christophe," Accueil. tr. s. chaleureux. , Nous. sommes. arriv. s. tardivement. et. Helen. tait. disponible. pour. nous. recevoir. , Le. logement. situ. dans. une. maison. victorienne. est. tr. s. confortable. et. correspond. exactement. la. description. propos. e. , Cela. nous. permis. d. appr. cier. pleinement. notre. s. jour. Boston. et. de. profiter. de. la. tranquillit. et. de. l. ind. pendance. proximit. imm. diate. de. la. ville. 5. pied. du. terminus. Forest. Hills. de. la. ligne. de. m. tro. orange. et. de. tous. commerces. et. facilit. s. , Helen. est. tr. s. pr. venante. et. veille. ce. que. nous. ayons. tout. le. n. cessaire. Les. savoureux. petits. d. jeuners. granola. jus. de. fruits. et. muffins. m. morables. font. partie. de. nos. meilleurs. souvenirs. de. notre. s. jour. Boston. , Helen. a. aussi. su. nous. donner. de. bons. conseils. pour. les. visites. , Un. tr. s. grand. merci. Helen. ",fr,"Homepage.tr.s.warm., We.are.arrivals.s.tardily.and.Helen.tait.available.for.we.to receive., The.lodging.if you.in.a.House.Victorian.is.tr.s.comfortable.and.corresponds.exactly.the.description.about.e., That.we.permit.d.appr..fully.our.s.day.Boston.and.of.take advantage.of.the.Tranquillit.and.of.L.ind.pendant.Proximity.Imm.DIATE.of.the.city.5. Foot.from.terminus.Forest.Hills.of.the.line.of.m.Tro.orange.and.of.all.businesses.and.FACILIT.s., Helen.is.tr.s.pr.compensation.and.day before.this.than.we.Ayons.all.the.not.necessary.The.tasty.Small.d.Jeuners.Granola.juice.of.fruits.and.muffins.m.morables.make.part.of.NOS.Best.souvenirs.of.our.s.day.Boston., Helen.at.Also.su.we.to give.of.good.advice.for.the.Visits., A TR.s.big.thank you.Helen."
5,4105704,28775710,2015-03-30,24360030,Olivia," Tr. s. bon. accueil. notre. arriv. e. par. Helen. Le. quartier. r. sidentiel. est. calme. et. l. appartement. est. agr. able. propre. et. bien. agenc. , Tous. les. matins. les. h. tes. nous. ont. apport. des. viennoiseries. chaudes. type. muffins. croissant. etc. ils. sont. disponibles. et. l. coute. en. cas. de. besoin. et. cela. rapidement. , Tr. s. bon. s. jour. dans. le. quartier. de. Jamaica. Plain. ",fr,"Tr. S.Well.homepage.our.arrivals.e.through.Helen.The.piece.r.sidential.is.calmed down.and.L.apartment.is.AGR.Able.own.and.Good.AGENC., All.the.mornings.the.h.your.we.have.bring.from.pastries.Hot.type.muffins.Crescent.etc.they.are.Available.and.L.cost.in.case.of.need.and.that.quickly., Tr. S.Well.s.day.in.the.piece.of.Jamaica.Plain."
6,4105704,32148592,2015-05-14,32964376,Susanne," Wir. haben. uns. bei. Helen. sehr. wohlgef. hlt. Die. Beschreibung. hat. exakt. gestimmt. Das. Appartement. ist. sehr. geschmackvoll. eingerichtet. Sehr. gutes. Bett. Gut. ist. auch. die. Lage. die. Haltestelle. der. Tube. ist. um. die. Ecke. , Wir. wurden. herzlich. empfangen. mit. einem. Glas. Wei. wein. und. Olivenbrot. F. r. alle. Fragen. politisch. geschichtlich. touristisch. waren. Helen. oder. ihr. Mann. immer. offen. Das. selbergemachte. Granola. super. lecker. ",de,"We.to have.US.at.Helen.very.Well find.Hft.The.Description.has.exactly.voted.The.Apartment.is.very.tastefully.furnished.Very.Good.Bed.Good.is.also.the.Position.the.Bus stop.the.Tube.is.around.the.Corner., We.became.heartfelt.receive.With.One.Glass.White.Wine.and.Olive bread.F. R.Everyone.Questions.politically.History.Tourist.was.Helen.or.her.Husband.always.open minded.The.self-made.Granola.great.yummy."
7,4105704,32739424,2015-05-21,25139037,Rita + Martin," Wow. , . , . ein. Appartement. das. den. Bildern. voll. und. ganz. entspricht. und. dazu. Gastgeber. vom. Feinsten. kaum. zu. bertreffen. , . , Wir. haben. uns. bei. Helen. und. Stuart. sehr. sehr. wohl. gef. hlt. Helen. hat. uns. sogar. vom. Bahnhof. der. Station. Forest. Hills. abgeholt. Jeden. Morgen. wurden. wir. mit. Fr. hst. cksleckereien. verw. hnt. das. homemade. Granola. macht. einfach. nur. s. chtig. Saft. Milch. Tee. Obst. Joghurt. und. Kaffee. waren. ebenfalls. vorr. tig. das. alles. hatten. wir. so. nicht. erwartet. und. waren. wirklich. mehr. als. positiv. berrascht. , . , Das. Appartement. war. tiptop. sauber. das. Bett. sehr. bequem. die. K. che. bestens. ausgestattet. im. Bad. herrlich. flauschige. Handt. cher. Die. Lage. zum. Arnold. Arboretum. Park. zum. Joggen. die. sichere. und. gute. Nachbarschaft. nur. 3. Min. zu. ffentl. Verkehrsmitteln. mit. nur. 20. Min. Fahrtzeit. nach. Downtown. ein. Supermarkt. in. der. N. he. und. Jamaica. Plain. ein. Katzensprung. entfernt. das. alles. h. tte. f. r. uns. nicht. besser. sein. k. nnen. , . , Und. die. Gastgeber. Wunderbar. Immer. erreichbar. und. f. r. alle. unsere. Fragen. offen. und. wir. hatten. viele. Wir. bekamen. tolle. Tipps. und. Empfehlungen. f. r. Boston. die. Umgebung. und. unsere. weitere. Reise. zu. den. White. Mountains. , . , Deshalb. von. uns. 5. Sterne. und. ein. herzliches. Dankesch. n. an. Helen. und. Stuart. ",de,"Wow. ,. ,. one. Apartment. that. the. Pictures. fully. and. all. is equivalent to. and. to. Host. from the. Finest. barely. to. Meet. ,. , We. to have. US. at. Helen. and. Stuart. very. very. well. Gef. Hft. Helen. has. US. even. from the. Train station. the. Station. Forest. Hills. picked up. Every. Tomorrow. became. weather. With. Fr. Hst. Cksleckerei. vertiver HNT. That. Homemade. Granola. power. simple. only. s. Child. Juice. Milk. Tea. Fruit. Yogurt. and. Coffee. was. Likewise. proper. TIG. all that. had. weather. so. not. expected. and. was. really. more. as. positive. Borrowing. ,. , The. Apartment. was. Tiptop. clean. the bed. very. comfortable. the. K. Che. Best. fitted. in the. Bath. splendid. Fluffy. Hand. Cher. The. Position. to the. Arnold. Arboretum. Park. to the. Jog. the. Safe. and. quality. Neighborhood. only. 3. Min. Ffentl. Transport. With. only. 20. Min. Travel time. after. Downtown. one. Supermarket. in the. N. Hey. and. Jamaica. Plain. one. Fitten. removed. all that. H. TTE. f. r. US. not. better. being. k. n. ,. , And. the. Host. Wonderful. Always. available. and. f. r. Everyone. our. Questions. open minded. and. weather. had. lots. We. got. great. Tips. and. Recommendations. f. r. Boston. the. Surroundings. and. our. Further. Trip. to. the. White. Mountains. ,. , Therefore. from. US. 5 Stars. and. one. Heart. Thank you. n. on. Helen. and. Stuart."
8,4105704,46363815,2015-09-10,27033035,Richard, Nettes. altes. Holzhau. aus. 1905. G. stewohnung. im. 2. Stock. ber. eine. schmale. Treppe. erreichbar. Man. sollte. daher. gut. zu. Fu. sein. Historische. Einrichtung. funktional. und. sauber. Komplette. Kuechenausstattung. vorhanden. Freundliche. Gastgeber. die. t. glich. f. r. ein. kleines. frisches. Fr. hst. ck. sorgen. Die. Wohnung. ist. gut. mit. der. U. Bahn. T. erreichbar. 20. Min. vom. Stadtzentrum. Parkplatz. vor. dem. Haus. nur. in. der. Nacht. tags. ber. 2. Stra. en. weiter. ,de,"Nice.old one.Holzhau.out.1905. G. Steitz.in the.2nd Floor.Ber. One.Narrow.Stairway.available.Man.should.hence.Well.to.FU.being.Historical.Furnishings.functional.and.clean.Complete.Kitchen equipment.present.Friendly.Host.the.t.GLOW.f. r.one.Small.Fresh.Fr. Hst.CK.ensure, to care.The.Apartment.is.Well.With.the.Subway.T. reachable.20. Min. Of.City center.Parking spot.before.to the.House.only.in the.Night.Tags.Ber. 2. Street.EN.further."
9,4105704,51261668,2015-10-19,29179428,Jean Jacques, Parfait. accueil. par. les. parents. de. Helen. qui. nous. avait. pr. venus. de. son. absence. le. jour. de. notre. arriv. e. Gentillesse. et. attention. taient. au. rendez. vous. Le. metro. est. tout. proche. du. logement. et. permet. d. acc. der. au. centre. de. Boston. en. 20. minutes. voire. moins. ,fr,Perfect.homepage.through.the.parents.of.Helen.Who.we.had.pr.Venus.of.his.absence.the.day.of.our.arrivals.e.Kindness.and.Warning.were silent.to.mandateyou.The.Metro.is.all.close.from.lodging.and.allow.d.ACC.der.to.center.of.Boston.in.20 minutes.even.less.
