,words,count
0,cute,3487
1,cozy,7686
2,place,45398
3,perfect,16182
4,location,28537
5,everything,19713
6,kelly,363
7,great,60759
8,room,20698
9,very,72059
10,central,1486
11,beautiful,9678
12,building,2938
13,architecture,62
14,style,442
15,that,25232
16,really,16293
17,like,9993
18,felt,6540
19,guite,1
20,home,20227
21,here,14143
22,wish,1303
23,spent,1597
24,more,8037
25,time,17767
26,went,3066
27,walk,10617
28,found,2926
29,seattle,39497
30,center,2348
31,with,54996
32,major,835
33,food,2935
34,festival,88
35,progress,36
36,what,6992
37,treat,572
38,visited,569
39,space,13971
40,needle,2219
41,chihuly,135
42,glass,353
43,exhibit,32
44,then,1709
45,pikes,1126
46,market,3669
47,wow,250
48,thanks,7358
49,stay,51978
50,spacious,4795
51,apartment,25831
52,neighborhood,18121
53,this,31866
54,kind,3698
55,had,1054
56,didnt,6917
57,meet,3456
58,until,814
59,out,2175
60,always,3436
61,readily,293
62,available,4489
63,phone,814
64,believe,234
65,only,8692
66,issue,1226
67,want,3412
68,call,655
69,finding,692
70,park,3669
71,sincerely,54
72,doubt,194
73,easy,17937
74,anywhere,951
75,residential,921
76,area,11520
77,after,4424
78,friday,159
79,close,11782
80,offer,994
81,ballet,11
82,theater,106
83,museum,357
84,restaurants,11296
85,just,14131
86,blocks,3124
87,away,7814
88,metropolitan,62
89,probably,818
90,coolest,104
91,grocer,15
92,youll,658
93,ever,2539
94,find,3912
95,warm,4436
96,welcoming,7545
97,interesting,1302
98,talk,884
99,host,20714
100,accommodating,6644
101,some,9033
102,coffee,8184
103,while,4947
104,wasnt,1766
105,around,8485
106,much,7740
107,during,5830
108,interacting,36
109,pleasant,2718
110,itself,3064
111,good,11478
112,well,15281
113,looking,3701
114,for,1251
115,clean,29117
116,simple,1315
117,kept,1511
118,bike,599
119,share,576
120,2015,54
121,which,11847
122,used,1832
123,week,1758
124,nice,23041
125,expected,1525
126,comfortable,25037
127,overall,4065
128,would,26126
129,book,1860
130,again,20189
131,hola,2
132,left,4545
133,where,3845
134,simply,494
135,fantastic,5116
136,weekend,2766
137,small,3786
138,part,2240
139,because,3323
140,welcome,4699
141,kellys,92
142,mega,8
143,efficient,328
144,most,4363
145,including,1883
146,precise,39
147,directionsvery,1
148,important,442
149,town,3878
