,listing_id,id,date,reviewer_id,reviewer_name,comments,review_lang,t_comments
9,7202016,48388999,2015-09-26,38110731,Tatiana," The. place. was. really. nice. clean. and. the. most. important. aspect. it. was. close. to. everything. so. we. moved. across. the. city. easily. , Muy. limpio. y. espacioso. Kelly. fue. muy. agradable. y. lo. mas. importante. es. que. esta. cerca. de. pr. cticamente. todo. lo. que. nos. permiti. movernos. f. cilmente. por. la. cuidad. ",es,"The.Place.WasReallyNiceCleanand.The.MOSTImportantAspectItem.WasCloseTo.EverythingSW.WeMovedAcrossThe.City.Easily, Very.cleansed.and.spacious.Kelly.it was.very.nice.and.it.more.important.it is.that.is.close.from.PRStically.everything.it.that.us.Allowed.move.F.cilly.by.the.City"
80,7735100,43837578,2015-08-22,40603512,Puhong, . Roger. fremont. Rainer. ,zh-cn,. Roger. fremont. Rainer.
288,7550234,47535547,2015-09-20,40619236,Theo, Sehr. gut,de,Very.Well
301,7550234,56949077,2015-12-20,47521443,Ying, . wifi. ,zh-cn,. wifi.
386,1205666,16974756,2014-08-05,14362449,Uwe, Sean. und. seine. Frau. Clara. sind. sehr. freundliche. aufmerksame. und. hilfsbereite. Gastgeber. Sie. bringen. ihren. G. sten. gro. es. Vertrauen. entgegen. Schlafzimmer. und. Badezimmer. waren. gepflegt. und. gro. z. gig. Als. Mitbenutzer. der. K. che. und. des. Wohnzimmers. f. hlten. wir. uns. willkommen. Sean. ist. so. freundlich. mein. Fahrrad. in. seiner. Garage. aufzubewahren. solange. ich. durch. Kanada. reise. Ich. kann. diese. Gastgeber. nur. weiter. empfehlen. Uwe. Gerischer,de,Sean.and.his.Mrs.Clara.are.very.Friendly.Attentive.and.Help-ready.Host.She.bring.their.G. sten.Great.it.To trust.opposite.Bedroom.and.Bathroom.was.groomed.and.Great.z.Gig.As.Co-users.the.K. Che.and.of the. living room.f. Hen.weather.US.welcome.Sean.is.so.friendly.my.Bicycle.in its.Garage.be kept.so long.I.by.Canada.trip.I.can.these.Host.only.Further.recommend.Uwe.Geric
404,1205666,19475353,2014-09-13,18033144,Petra," Es. war. wundervoll. bei. Sean. und. seiner. Familie. Das. Zimmer. ist. perfekt. von. der. Gr. e. und. wir. haben. uns. sehr. willkommen. gef. hlt. Es. waren. zwei. sehr. sch. ne. Tage. und. wir. h. tten. gern. noch. mehr. Zeit. gehabt. Wir. konnten. die. K. che. und. das. Wohnzimmer. mitnutzen. alles. ist. sehr. ger. umig. hell. und. freundlich. Mit. dem. Bus. kommt. man. gut. in. die. Stadt. das. Haus. ist. ruhig. gelegen. so. dass. man. gut. schlafen. kann. , Es. wird. sogar. ein. kleines. Fr. hst. ck. mit. Kaffee. oder. Tee. geboten. was. man. sich. selbst. zurecht. machen. kann. Sean. und. seine. Frau. sind. sehr. freundlich. und. offen. Gespr. che. kommen. leicht. zustande. Ich. kann. also. diese. bernachtung. nur. empfehlen. , F. r. Auto. Reisende. ist. ein. Parkplatz. direkt. vor. der. T. r. ",de,"It.was.wonderful.at.Sean.and.his.Family.That.Room.is.Perfect.from.the.Gr.e.and.weather.to have.US.very.welcome.Gef.Hft.It.was.two.very.NS.ne.Days.and.weather.H.t.gladly.still.more.Time.Hot.We.could.the.K. Che.and.the living room.with benefit.All.is.very.Ger.umig.bright. And.friendly.With.to the.Bus.comes.Man.Well.in the.City.the House.is.quiet.located.so.that he.Well.sleep.can., It.will.even.a.Small.Fr. Hst.CK.with.Coffee.or.Tea.commanded.What.Man.themselves.Even. Care.do.can.Sean.and.his.Mrs.are.very.friendly.and.open minded.TalkChe.come.easy.conditions.I.can.so.these.Bearing.only.recommend., F. R.Automobile.Traveler.is.a.Parking spot.direct.before.the.T. R."
458,1205666,44296965,2015-08-25,28611673,Christine, Sean. Carla. Sohn. waren. wirklich. ganz. tolle. Gastgeber. Es. waren. unsere. ersten. zwei. N. chte. mit. einer. Buchung. via. AIRBNB. und. wir. sind. so. zufrieden. gewesen. dass. wir. gerne. wiederkommen. m. chten. oder. auch. noch. anderer. Gastgeber. und. St. dte. dadurch. kennenlernen. m. chten. Wir. haben. vor. unserer. Anreise. mehrmals. per. eMail. miteinander. geschrieben. und. nach. unserer. Landung. in. Seattle. hatten. wir. direkt. den. Kontakt. um. zu. erfahren. dass. wir. fr. her. als. geplant. anreisen. konnten. Uns. wurde. dann. der. Schl. ssel. bergeben. das. Zimmer. und. Badzimmer. gezeigt. sowie. alle. Bereiche. im. Hause. gezeigt. die. wir. mitbenutzen. durften. ,de,Sean.Carla.Son.was.really.quite.great.Host.It.was.our.First.two.N.with.One.Booking.via.Airbnb.and.weather.are.so.satisfied.been.that we.gladly.come back.M. Chen.or.even.still.another.Host.and.St. Dte.through this.to get to know.M. Chen.We.to have.before.Our.Getting there.several times.by.e-mail.together.written.and.after.Our.Landing.In. Seattle.had.weather.direct.the.Contact.around.to.Experienced.that we.FR.from.as.planned.arrive.could.US.became.then.the.Schl.SSEL.Provide.the room.and.Bathroom.shown.as.Everyone.Areas.in the.Home.shown.the.weather.withdraw.were allowed.
494,136480,25070704,2015-01-05,21869632,Ziyi, . ,zh-cn,.
529,4681885,37647009,2015-07-09,16433164,Alain," Staying. at. Kirsten. s. house. was. great. , It. was. well. located. and. we. didn. t. have. any. problem. She. was. a. good. host. , , Rester. chez. Kirsten. tait. simple. Elle. a. t. une. bonne. h. te. et. nous. n. avons. rencontr. aucun. probl. me. ",fr,"Staying. at. Kirsten. s. house. was. great. , It. was. well. located. and. we. didn. t. have. any. problem. She. was. a. good. host. , , Rester. chez. Kirsten. tait. simple. Elle. a. t. une. bonne. h. te. et. nous. n. avons. rencontr. aucun. probl. me."
537,4681885,43135001,2015-08-17,39867100,Peter," Notre. h. te. a. t. tr. s. amicale. Comme. nous. avons. lou. pour. la. fin. de. semaine. et. elle. tait. absente. pendant. la. fin. de. semaine. nous. l. avons. rencontr. un. peu. avant. et. un. peu. apr. s. En. fin. de. compte. nous. avons. eu. sa. maison. au. complet. pour. nous. Son. chien. un. Labrador. a. t. adorable. , Le. logement. a. t. tel. que. indiqu. Nous. nous. sommes. servis. des. appareils. dans. la. cuisine. et. de. la. laveuse. et. la. secheuse. , Un. quartier. tranquile. typiquement. bourgeoisie. moyenne. ",fr,"Our.h.you.To.t.tr.s.Amicale.As.we.have.Lou.for.the.end.of.week.and.she.tait.absent.during.the.end.of.week.we.the.have.met.a.little.before.and.a.little.APR.s.In.end.of.account.we.have.EU.her.House.to.full.for.we.His.dog.a.Labrador.To.t.adorable., The.lodging.To.t.Phone.than.India.We.we.are.served.from.devices.in.the.food.and.of.the.Washer.and.the.Dryer., A neighborhood.Tranquile.typically.bourgeoisie.mean."
