,words,count
9,very,72059
7,great,60759
31,with,54996
49,stay,51978
2,place,45398
29,seattle,39497
202,were,39221
53,this,31866
115,clean,29117
4,location,28537
128,would,26126
51,apartment,25831
15,that,25232
228,there,25189
126,comfortable,25037
124,nice,23041
272,house,22717
243,from,22335
99,host,20714
8,room,20698
20,home,20227
130,again,20189
5,everything,19713
278,have,18350
52,neighborhood,18121
73,easy,17937
25,time,17767
229,recommend,16449
16,really,16293
3,perfect,16182
168,downtown,15695
237,definitely,15312
112,well,15281
224,also,14333
21,here,14143
85,just,14131
39,space,13971
257,made,12534
219,wonderful,12230
238,when,12145
160,quiet,12113
276,experience,11974
121,which,11847
79,close,11782
285,they,11575
76,area,11520
111,good,11478
344,about,11434
84,restaurants,11296
241,staying,11250
351,even,11101
321,needed,10761
27,walk,10617
269,helpful,10194
17,like,9993
11,beautiful,9678
225,walking,9665
281,friendly,9403
522,back,9326
412,will,9269
489,enjoyed,9079
101,some,9033
275,lovely,8958
665,its,8851
65,only,8692
105,around,8485
185,city,8479
261,highly,8354
477,little,8304
371,kitchen,8228
102,coffee,8184
372,could,8183
574,first,8169
283,hosts,8116
24,more,8037
310,super,8009
561,loved,7941
416,feel,7896
87,away,7814
977,parking,7784
106,much,7740
1,cozy,7686
96,welcoming,7545
226,distance,7542
532,airbnb,7365
48,thanks,7358
304,their,7256
199,night,7125
841,stayed,7102
421,convenient,6999
36,what,6992
370,bathroom,6989
56,didnt,6917
256,amazing,6877
1216,need,6818
357,than,6813
172,right,6732
100,accommodating,6644
159,located,6553
18,felt,6540
239,visit,6368
240,next,6148
203,provided,6074
930,view,5939
161,street,5936
107,during,5830
570,make,5772
664,trip,5677
383,within,5640
465,private,5636
545,your,5614
729,excellent,5395
446,thank,5351
424,hill,5347
546,short,5288
326,sure,5209
483,awesome,5189
135,fantastic,5116
217,exactly,5112
399,other,5105
384,many,4953
103,while,4947
1097,family,4936
247,access,4929
451,check,4885
303,arrived,4842
50,spacious,4795
577,arrival,4769
227,lots,4703
140,welcome,4699
536,places,4613
361,gave,4611
132,left,4545
475,able,4543
218,described,4512
788,questions,4496
62,available,4489
715,shops,4483
502,best,4479
95,warm,4436
77,after,4424
902,things,4422
638,into,4373
144,most,4363
498,before,4359
521,come,4308
1949,studio,4288
474,people,4221
901,plenty,4210
1028,quick,4199
367,enough,4160
249,extremely,4149
127,overall,4065
757,better,4026
846,ballard,3937
260,anyone,3922
94,find,3912
149,town,3878
268,responsive,3855
411,minutes,3851
741,such,3845
133,where,3845
705,days,3810
137,small,3786
333,them,3754
302,morning,3721
482,both,3713
113,looking,3701
54,kind,3698
170,being,3691
5096,cottage,3671
70,park,3669
46,market,3669
814,light,3611
282,been,3611
491,absolutely,3579
153,spot,3540
514,bedroom,3538
490,comfy,3533
312,bars,3523
0,cute,3487
452,safe,3485
57,meet,3456
301,breakfast,3451
1031,minute,3437
60,always,3436
925,nearby,3432
67,want,3412
316,love,3402
405,quite,3397
855,every,3365
423,capitol,3346
1133,amenities,3334
572,down,3329
139,because,3323
1119,lake,3320
358,though,3256
264,late,3184
1390,local,3165
86,blocks,3124
26,went,3066
110,itself,3064
174,visiting,3002
311,near,2994
740,having,2990
394,work,2960
335,communication,2955
946,living,2955
12,building,2938
33,food,2935
307,couple,2932
28,found,2926
438,appreciated,2924
1253,water,2916
151,cool,2888
802,etc,2877
175,friends,2853
1967,unit,2837
929,bed,2831
542,pretty,2830
497,never,2802
136,weekend,2766
919,door,2757
216,listing,2749
871,nights,2745
244,public,2729
109,pleasant,2718
436,guests,2697
392,getting,2679
262,recommended,2679
270,over,2672
178,full,2622
878,too,2588
254,shower,2566
355,information,2560
756,couldnt,2546
888,take,2545
201,towels,2543
93,ever,2539
154,anything,2531
904,needs,2524
528,wanted,2510
1976,stocked,2486
186,easily,2483
730,privacy,2476
1032,drive,2459
712,recommendations,2436
410,took,2431
821,garden,2430
294,youre,2428
343,know,2427
298,going,2418
648,pike,2402
649,fremont,2399
518,long,2382
717,pictures,2377
447,you,2363
553,dont,2363
403,especially,2355
874,hotel,2353
30,center,2348
456,since,2336
839,person,2320
830,large,2309
656,views,2293
398,decorated,2287
212,although,2257
1080,fresh,2247
138,part,2240
382,charming,2222
40,needle,2219
332,enjoy,2219
426,through,2218
1961,husband,2202
324,early,2197
390,gracious,2176
59,out,2175
440,sweet,2157
1006,outside,2156
1000,happy,2148
402,day,2146
413,return,2143
563,plus,2121
1148,making,2115
721,help,2109
166,ride,2092
1233,beds,2090
245,transportation,2084
838,hope,2070
1319,instructions,2067
964,cant,2067
927,came,2065
286,checkin,2030
309,sleep,2020
1127,without,2012
709,problem,2008
3193,noise,2002
976,stop,1975
322,extra,1972
848,last,1966
374,all,1963
448,wifi,1945
408,walked,1926
242,block,1904
796,fridge,1904
943,guest,1903
1327,front,1902
980,grocery,1902
833,floor,1886
145,including,1883
958,worked,1872
646,perfectly,1871
129,book,1860
1972,basement,1859
531,future,1838
584,suggestions,1833
122,used,1832
1322,rail,1810
396,open,1801
568,several,1801
663,whole,1799
250,flexible,1796
900,quickly,1796
407,friend,1787
1351,equipped,1779
1130,condo,1773
381,times,1767
104,wasnt,1766
1716,suite,1764
565,incredibly,1759
123,week,1758
455,helped,1743
206,neighbourhood,1741
492,welcomed,1730
1320,airport,1722
1160,modern,1717
44,then,1709
986,using,1664
1430,look,1663
1207,accommodations,1658
364,explore,1644
974,store,1633
1537,accurate,1628
234,price,1618
520,thing,1608
23,spent,1597
1648,thought,1595
583,offered,1593
591,still,1583
235,wine,1581
163,queen,1577
1363,clear,1576
726,attractions,1574
832,windows,1554
785,asked,1549
1373,property,1545
389,touch,1539
353,description,1535
1065,upon,1526
125,expected,1525
1194,main,1521
117,kept,1511
1570,theres,1507
1584,deck,1504
524,exploring,1502
328,another,1498
342,advertised,1497
295,free,1487
10,central,1486
921,might,1481
739,leave,1480
1437,nicely,1474
534,travel,1469
158,conveniently,1467
1114,loft,1462
714,car,1461
1463,snacks,1453
458,and,1451
337,relaxing,1450
669,wife,1449
523,each,1448
1089,thoughtful,1448
1204,coming,1448
2659,station,1446
388,peaceful,1446
433,accessible,1441
1404,rental,1425
1884,three,1424
1427,however,1422
460,slept,1411
1118,green,1397
287,reservation,1395
884,throughout,1392
527,everywhere,1381
750,shopping,1369
363,tips,1367
1620,think,1351
493,second,1349
1538,truly,1347
506,photos,1345
1559,actually,1337
222,evening,1332
1694,gorgeous,1331
350,fine,1323
336,rooms,1322
116,simple,1315
487,directions,1309
470,delicious,1308
184,across,1307
22,wish,1303
