,id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,city,zipcode,market,smart_location,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,availability_30,availability_60,availability_90,availability_365,number_of_reviews,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,reviews_per_month,len_name,len_host_about,len_summary,len_description,len_neighborhood_overview,len_transit,count_amenities,count_host_verifications,amenities_wireless internet,amenities_heating,amenities_kitchen,amenities_smoke detector,amenities_essentials,amenities_dryer,amenities_washer,amenities_internet,amenities_shampoo,amenities_tv,amenities_carbon monoxide detector,amenities_fire extinguisher,amenities_free parking on premises,amenities_family/kid friendly,amenities_first aid kit,amenities_cable tv,amenities_indoor fireplace,amenities_pets live on this property,amenities_hangers,amenities_elevator in building,amenities_hair dryer,amenities_laptop friendly workspace,amenities_iron,amenities_safety card,amenities_air conditioning,amenities_24-hour check-in,amenities_buzzer/wireless intercom,amenities_dog(s),amenities_pets allowed,amenities_gym,amenities_cat(s),amenities_hot tub,amenities_wheelchair accessible,amenities_breakfast,amenities_suitable for events,amenities_pool,amenities_lock on bedroom door,amenities_doorman,amenities_smoking allowed,amenities_other pet(s),amenities_washer / dryer
0,241032,1605,"Seattle, Washington, United States",within a few hours,96.0,100.0,0,Queen Anne,3.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,85.0,,2,5.0,1,1 month to 2 months,4 weeks ago,14,41,71,346,207,2011-11-01,95.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0,0,2,4.07,28,372.0,0.0,1000,0.0,0.0,10,4,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,953595,1041,"Seattle, Washington, United States",within an hour,98.0,100.0,1,Queen Anne,6.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,40.0,1,0.0,2,1 month to 2 months,today,13,13,16,291,43,2013-08-19,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,1,1,6,1.48,34,74.0,249.0,1000,167.0,162.0,16,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3308979,448,"Seattle, Washington, United States",within a few hours,67.0,100.0,0,Queen Anne,2.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,11,4.5,5.0,7.0,Real Bed,975.0,300.0,10,25.0,4,2 weeks to 1 month,5 weeks ago,1,6,17,220,20,2014-07-30,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,0,0,2,1.15,35,343.0,241.0,1000,669.0,202.0,21,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
3,7421966,938,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,3,1.0,0.0,2.0,Real Bed,100.0,,1,0.0,1,1 month to 2 months,6 months ago,0,0,0,143,0,,,,,,,,,0,flexible,0,0,1,,18,0.0,243.0,243,0.0,0.0,14,5,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,278830,1425,"Seattle, Washington, United States",within an hour,100.0,,0,Queen Anne,2.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Entire home/apt,6,2.0,3.0,3.0,Real Bed,450.0,125.0,6,15.0,1,1 month to 2 months,7 weeks ago,30,60,90,365,38,2012-07-10,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict,0,0,1,0.89,30,354.0,184.0,1000,492.0,295.0,13,5,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5956968,1738,"Seattle, Washington, United States",,,,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,2,1.0,1.0,1.0,Real Bed,120.0,40.0,1,30.0,1,1 Week or less,2 weeks ago,0,0,27,302,17,2015-06-11,95.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict,0,0,1,2.45,31,236.0,245.0,1000,127.0,102.0,6,5,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1909058,1286,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,House,Private room,2,1.0,1.0,1.0,Real Bed,80.0,,1,10.0,3,1 week to 2 weeks,5 weeks ago,20,49,71,346,58,2014-01-27,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,2.46,31,229.0,248.0,1000,95.0,454.0,7,4,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,856550,1158,"Seattle, Washington, United States",within an hour,100.0,100.0,1,Queen Anne,5.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Cabin,Private room,2,1.0,1.0,1.0,Real Bed,60.0,25.0,1,0.0,2,1 Week or less,yesterday,22,42,42,100,173,2013-01-03,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,strict,1,1,5,4.73,33,263.0,220.0,1000,97.0,46.0,7,7,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,4948745,1216,"Seattle, Washington, United States",,,100.0,0,Queen Anne,1.0,1,1,West Queen Anne,Seattle,98109,Seattle,"Seattle, WA",1,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,90.0,,1,0.0,3,1 month to 2 months,5 months ago,6,36,66,341,8,2015-06-22,97.0,10.0,9.0,10.0,9.0,10.0,10.0,0,strict,0,0,1,1.22,32,237.0,190.0,1000,523.0,258.0,15,6,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,2493658,1032,"Seattle, Washington, United States",within an hour,98.0,100.0,1,Queen Anne,6.0,1,1,West Queen Anne,Seattle,98119,Seattle,"Seattle, WA",1,Apartment,Entire home/apt,4,1.0,1.0,1.0,Real Bed,150.0,40.0,1,0.0,2,1 month to 2 months,today,6,19,49,324,32,2014-04-27,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict,1,1,6,1.55,34,74.0,216.0,1000,169.0,162.0,16,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
