,listing_id,id,date,reviewer_id,reviewer_name,comments,review_lang
9,7202016,48388999,2015-09-26,38110731,Tatiana," The place was really nice clean and the most important aspect it was close to everything so we moved across the city easily , Muy limpio y espacioso Kelly fue muy agradable y lo mas importante es que esta cerca de pr cticamente todo lo que nos permiti movernos f cilmente por la cuidad ",es
80,7735100,43837578,2015-08-22,40603512,Puhong,  Roger fremont Rainer ,zh-cn
288,7550234,47535547,2015-09-20,40619236,Theo, Sehr gut,de
301,7550234,56949077,2015-12-20,47521443,Ying,  wifi ,zh-cn
386,1205666,16974756,2014-08-05,14362449,Uwe, Sean und seine Frau Clara sind sehr freundliche aufmerksame und hilfsbereite Gastgeber Sie bringen ihren G sten gro es Vertrauen entgegen Schlafzimmer und Badezimmer waren gepflegt und gro z gig Als Mitbenutzer der K che und des Wohnzimmers f hlten wir uns willkommen Sean ist so freundlich mein Fahrrad in seiner Garage aufzubewahren solange ich durch Kanada reise Ich kann diese Gastgeber nur weiter empfehlen Uwe Gerischer,de
404,1205666,19475353,2014-09-13,18033144,Petra," Es war wundervoll bei Sean und seiner Familie Das Zimmer ist perfekt von der Gr e und wir haben uns sehr willkommen gef hlt Es waren zwei sehr sch ne Tage und wir h tten gern noch mehr Zeit gehabt Wir konnten die K che und das Wohnzimmer mitnutzen alles ist sehr ger umig hell und freundlich Mit dem Bus kommt man gut in die Stadt das Haus ist ruhig gelegen so dass man gut schlafen kann , Es wird sogar ein kleines Fr hst ck mit Kaffee oder Tee geboten was man sich selbst zurecht machen kann Sean und seine Frau sind sehr freundlich und offen Gespr che kommen leicht zustande Ich kann also diese bernachtung nur empfehlen , F r Auto Reisende ist ein Parkplatz direkt vor der T r ",de
458,1205666,44296965,2015-08-25,28611673,Christine, Sean Carla Sohn waren wirklich ganz tolle Gastgeber Es waren unsere ersten zwei N chte mit einer Buchung via AIRBNB und wir sind so zufrieden gewesen dass wir gerne wiederkommen m chten oder auch noch anderer Gastgeber und St dte dadurch kennenlernen m chten Wir haben vor unserer Anreise mehrmals per eMail miteinander geschrieben und nach unserer Landung in Seattle hatten wir direkt den Kontakt um zu erfahren dass wir fr her als geplant anreisen konnten Uns wurde dann der Schl ssel bergeben das Zimmer und Badzimmer gezeigt sowie alle Bereiche im Hause gezeigt die wir mitbenutzen durften ,de
494,136480,25070704,2015-01-05,21869632,Ziyi,  ,zh-cn
529,4681885,37647009,2015-07-09,16433164,Alain," Staying at Kirsten s house was great , It was well located and we didn t have any problem She was a good host , , Rester chez Kirsten tait simple Elle a t une bonne h te et nous n avons rencontr aucun probl me ",fr
537,4681885,43135001,2015-08-17,39867100,Peter," Notre h te a t tr s amicale Comme nous avons lou pour la fin de semaine et elle tait absente pendant la fin de semaine nous l avons rencontr un peu avant et un peu apr s En fin de compte nous avons eu sa maison au complet pour nous Son chien un Labrador a t adorable , Le logement a t tel que indiqu Nous nous sommes servis des appareils dans la cuisine et de la laveuse et la secheuse , Un quartier tranquile typiquement bourgeoisie moyenne ",fr
589,2420536,33883108,2015-06-01,34373179,Wei,  Tom house ,zh-cn
641,72743,969338,2012-03-04,1762938,Daniel, Nice quiet place ,fr
662,72743,1760947,2012-07-21,2531226,Michel & Bea, La maison de Jennifer est dans un quartier paisible 20mn en bus du centre de Seattle La chambre tait tr s propre et bien quip e avec frigidaire tv micro onde et placard Le lit tait confortable Pour notre arriv e Jennifer nous avait laiss e des g teaux et yaourts dans la chambre Nous avions pour le petit d jeuner du caf du th et c r ales volont Nous disposions de la cuisine notre convenance Nous avons trouv Jennifer tr s agr able tr s souriante et de tr s bon accueil malheureusement nous n avons pas eu l occasion de discuter souvent avec elle car nous n avions pas les m mes horaires ,fr
794,6939472,46174890,2015-09-08,41013596,Hyojung,  ,ko
804,6939472,50848173,2015-10-15,41138802,Zhijie,  sleepness in seattle Julian Jasmine julian jasmine Seattle Julian all my best wishes ,et
