,words
0,cute
1,cozy
2,place
3,perfect
4,location
5,everything
6,kelly
7,great
8,room
9,very
10,central
11,beautiful
12,building
13,architecture
14,style
15,that
16,really
17,like
18,felt
19,guite
20,home
21,here
22,wish
23,spent
24,more
25,time
26,went
27,walk
28,found
29,seattle
30,center
31,with
32,major
33,food
34,festival
35,progress
36,what
37,treat
38,visited
39,space
40,needle
41,chihuly
42,glass
43,exhibit
44,then
45,pikes
46,market
47,wow
48,thanks
49,stay
50,spacious
51,apartment
52,neighborhood
53,this
54,kind
55,had
56,didnt
57,meet
58,until
59,out
60,always
61,readily
62,available
63,phone
64,believe
65,only
66,issue
67,want
68,call
69,finding
70,park
71,sincerely
72,doubt
73,easy
74,anywhere
75,residential
76,area
77,after
78,friday
79,close
80,offer
81,ballet
82,theater
83,museum
84,restaurants
85,just
86,blocks
87,away
88,metropolitan
89,probably
90,coolest
91,grocer
92,youll
93,ever
94,find
95,warm
96,welcoming
97,interesting
98,talk
99,host
100,accommodating
101,some
102,coffee
103,while
104,wasnt
105,around
106,much
107,during
108,interacting
109,pleasant
110,itself
111,good
112,well
113,looking
114,for
115,clean
116,simple
117,kept
118,bike
119,share
120,2015
121,which
122,used
123,week
124,nice
125,expected
126,comfortable
127,overall
128,would
129,book
130,again
131,hola
132,left
133,where
134,simply
135,fantastic
136,weekend
137,small
138,part
139,because
140,welcome
141,kellys
142,mega
143,efficient
144,most
145,including
146,precise
147,directionsvery
148,important
149,town
150,btw
151,cool
152,50s
153,spot
154,anything
155,minimum
156,effort
157,cheers
158,conveniently
159,located
160,quiet
161,street
162,lower
163,queen
164,anne
165,buscab
166,ride
167,belltown
168,downtown
169,addition
170,being
171,booming
172,right
173,alas
174,visiting
175,friends
176,schedule
177,completely
178,full
179,barely
180,bad
181,seemed
182,aspect
183,moved
184,across
185,city
186,easily
187,limpio
188,espacioso
189,agradable
190,importante
191,esta
192,cerca
193,prácticamente
194,todo
195,permitió
196,movernos
197,fácilmente
198,cuidad
199,night
200,linen
201,towels
202,were
203,provided
204,mattress
205,superb
206,neighbourhood
207,practical
208,cafes
209,reachable
210,foot
211,min
212,although
213,working
214,havent
215,her
216,listing
217,exactly
218,described
219,wonderful
220,cleen
